Run ID,Fixed Mean,Fixed Std,Threshold Mean,Threshold Std,Adaptive (LSTM + QL) Mean,Adaptive (LSTM + QL) Std,Adaptive (ARIMA + SARSA) Mean,Adaptive (ARIMA + SARSA) Std,Adaptive (Trans + PG) Mean,Adaptive (Trans + PG) Std,Adaptive (RF + Rule) Mean,Adaptive (RF + Rule) Std,Adaptive (LR + QL) Mean,Adaptive (LR + QL) Std,Adaptive (LSTM + PPO) Mean,Adaptive (LSTM + PPO) Std,Adaptive (LSTM + DDPG) Mean,Adaptive (LSTM + DDPG) Std
1,0.4965853037914095,0.0,1.0,0.0,0.9834045051076614,0.09981194974128395,0.6212848231859689,0.37602737619374843,0.46432945449717616,0.2982387719162805,0.5196127220549692,0.1563149351389622,0.37461506006026846,0.1351640392605578,0.9942158880183647,0.058680294369757816,0.966774630050233,0.12498885674883621
2,0.4965853037914095,0.0,1.0,0.0,0.6212848231859689,0.37602737619374843,0.6212779471529509,0.37502196346739386,0.5902577780472154,0.35384631954246604,0.521122966143595,0.15850174489496757,0.9886852023930882,0.08298436343440917,0.9957261321069905,0.051945046759958424,0.9728156064047362,0.11378063098890032
3,0.4965853037914095,0.0,1.0,0.0,0.9869215319481035,0.08684986206072491,0.37511503673996804,0.13515192838947335,0.4662939941855787,0.23895266081748742,0.5115684009651589,0.14771780571808463,0.5003729470707553,0.05666394681595266,0.9349298464270565,0.20468372401568233,0.9848975591137423,0.08587611408325783
4,0.4965853037914095,0.0,1.0,0.0,0.6195211527409842,0.3751761389426841,0.43804531178255085,0.24829588820975976,0.48063370485155715,0.3028611323177964,0.5228969506381066,0.16505768971366186,0.4658504900559196,0.09086150410406289,0.9954761437671407,0.054866003434082954,0.9559529330900028,0.14290604843121218
5,0.4965853037914095,0.0,1.0,0.0,0.6782546605396521,0.32659885832217533,0.985171613569155,0.09845502664207387,0.48366695822953854,0.2591522433559789,0.5213867065494808,0.16297532035726256,0.49960922998517004,0.04347216011435276,0.7888261299817686,0.25031047943514795,0.9373644075118839,0.1787185656976343
