Run ID,Episode,Fixed Reward,Threshold Reward,Adaptive (LSTM + QL) Reward,Adaptive (ARIMA + SARSA) Reward,Adaptive (Trans + PG) Reward,Adaptive (RF + Rule) Reward,Adaptive (LR + QL) Reward,Adaptive (LSTM + PPO) Reward,Adaptive (LSTM + DDPG) Reward
1,10,0.4965853037914095,1.0,0.9496585303791409,0.6232984819708033,0.39693376950238674,0.4965853037914095,0.3465922998815277,0.7736352875315835,0.4965853037914095
1,20,0.4965853037914095,1.0,0.8743182267733015,0.6232984819708033,0.44727523912324585,0.4965853037914095,0.4722740731082261,1.0,0.5469267734122685
1,30,0.4965853037914095,1.0,0.8743182267733015,0.6232984819708033,0.4722740731082261,0.5469267734122685,0.371591133866508,1.0,0.4965853037914095
1,40,0.4965853037914095,1.0,0.8239767571524427,0.6232984819708033,0.44727523912324585,0.6476097126539866,0.371591133866508,1.0,0.4965853037914095
1,50,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4469314374723474,0.5722694090481474,0.371591133866508,1.0,0.4965853037914095
1,60,0.4965853037914095,1.0,1.0,0.6232984819708033,0.42227640513826553,0.5469267734122686,0.371591133866508,1.0,0.5469267734122685
1,70,0.4965853037914095,1.0,0.8743182267733015,0.6232984819708033,0.4972729070932064,0.5469267734122685,0.371591133866508,1.0,0.5972682430331275
1,80,0.4965853037914095,1.0,1.0,0.6232984819708033,0.5226155427290852,0.5469267734122685,0.371591133866508,1.0,1.0
1,90,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4972729070932064,0.5972682430331275,0.371591133866508,1.0,1.0
1,100,0.4965853037914095,1.0,1.0,0.5729570123499442,0.3719349355174064,0.5972682430331275,0.371591133866508,1.0,1.0
1,110,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4472752391232458,0.5469267734122685,0.371591133866508,1.0,1.0
1,120,0.4965853037914095,1.0,1.0,0.6232984819708033,0.5979558463349245,0.6476097126539866,0.371591133866508,1.0,1.0
1,130,0.4965853037914095,1.0,1.0,0.6232984819708033,0.44727523912324585,0.5469267734122685,0.371591133866508,1.0,1.0
1,140,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4976167087441049,0.4965853037914095,0.371591133866508,1.0,1.0
1,150,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4976167087441049,0.4965853037914095,0.371591133866508,1.0,1.0
1,160,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4972729070932064,0.4965853037914095,0.371591133866508,1.0,1.0
1,170,0.4965853037914095,1.0,0.9496585303791409,0.6232984819708033,0.3719349355174064,0.5219279394272883,0.371591133866508,1.0,1.0
1,180,0.4965853037914095,1.0,1.0,0.6232984819708033,0.5476143767140654,0.4469314374723473,0.371591133866508,1.0,1.0
1,190,0.4965853037914095,1.0,0.8239767571524425,0.6232984819708033,0.47227407310822606,0.47158646980642926,0.371591133866508,1.0,1.0
1,200,0.4965853037914095,1.0,1.0,0.6232984819708033,0.42227640513826553,0.47158646980642926,0.371591133866508,1.0,1.0
1,210,0.4965853037914095,1.0,0.8743182267733015,0.6232984819708033,0.6482973159557835,0.49692910544230795,0.371591133866508,1.0,1.0
1,220,0.4965853037914095,1.0,0.9496585303791409,0.6232984819708033,0.44727523912324585,0.4965853037914095,0.371591133866508,1.0,1.0
1,230,0.4965853037914095,1.0,1.0,0.6232984819708033,0.5226155427290852,0.4965853037914095,0.371591133866508,1.0,1.0
1,240,0.4965853037914095,1.0,1.0,0.6232984819708033,0.34693610153242616,0.47158646980642926,0.371591133866508,1.0,1.0
1,250,0.4965853037914095,1.0,0.9496585303791409,0.6232984819708033,0.39693376950238674,0.47158646980642926,0.371591133866508,1.0,1.0
1,260,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4472752391232458,0.5722694090481473,0.371591133866508,1.0,1.0
1,270,0.4965853037914095,1.0,1.0,0.6232984819708033,0.6232984819708033,0.4965853037914095,0.371591133866508,1.0,1.0
1,280,0.4965853037914095,1.0,1.0,0.6232984819708033,0.29659463191156704,0.47158646980642926,0.371591133866508,1.0,1.0
1,290,0.4965853037914095,1.0,1.0,0.6232984819708033,0.42227640513826553,0.4965853037914095,0.371591133866508,1.0,1.0
1,300,0.4965853037914095,1.0,1.0,0.6232984819708033,0.39727757115328516,0.5469267734122685,0.371591133866508,1.0,1.0
1,310,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4722740731082261,0.5219279394272882,0.371591133866508,1.0,1.0
1,320,0.4965853037914095,1.0,1.0,0.6232984819708033,0.42193260348736705,0.4965853037914095,0.371591133866508,1.0,1.0
1,330,0.4965853037914095,1.0,1.0,0.6232984819708033,0.4976167087441049,0.5469267734122685,0.371591133866508,1.0,1.0
1,340,0.4965853037914095,1.0,1.0,0.6232984819708033,0.49761670874410485,0.4965853037914095,0.371591133866508,1.0,1.0
