Run ID,Episode,Fixed Reward,Threshold Reward,Adaptive (LSTM + QL) Reward,Adaptive (ARIMA + SARSA) Reward,Adaptive (Transformer + PG) Reward,Adaptive (RF + Rule) Reward,Adaptive (LR + QL) Reward
1,0,0.5,0.0,0.8748776879970456,0.17185375046186374,0.05833721821313137,0.0810437012341047,0.28851286564375067
1,10,0.5,0.3,0.4272086653804424,0.5114947837184112,0.3337975416192962,0.3157458322635781,0.38708602950858545
1,20,0.5,0.2,0.4812879602412344,0.39050973773286657,0.3409094395528943,0.31622047751188714,0.4282500105927879
1,30,0.5,0.3,0.6176334055508519,0.39310177064965923,0.38277216121830626,0.21438332612290995,0.5621166526468062
1,40,0.5,0.5,0.4729265697110533,0.36095122506766664,0.3492997295232382,0.24363541601856853,0.5554914917075917
1,50,0.5,0.3,0.48347250556980015,0.4718528084487315,0.3406028169519007,0.2093755820490196,0.49385509270614153
1,60,0.5,0.3,0.5027158002336265,0.39681192782661245,0.3071954723115999,0.2872038597784705,0.5765694724449374
1,70,0.5,0.4,0.45770435381678054,0.48498713444162095,0.30002824212558654,0.1717294996911711,0.5830103903214344
1,80,0.5,0.5,0.4101447416796521,0.44831380330119924,0.28046548566943297,0.24657306120881609,0.420342302577503
1,90,0.5,0.6,0.5035814930126122,0.4356832253902839,0.3014966029530341,0.22183346548779492,0.5627280794606737
1,100,0.5,0.6,0.6141082615329961,0.5000904040914171,0.4324327639493332,0.24803630449968606,0.527235142826946
1,110,0.5,0.3,0.37133488354320826,0.4957846076687205,0.4087960346237466,0.23305283735953722,0.4636003650053633
1,120,0.5,0.2,0.32193748790357846,0.40749749034232474,0.40629786468996454,0.2551064214321191,0.3883383298141173
1,130,0.5,0.7,0.40706811254709657,0.4523095929795525,0.21399503115310808,0.2939083667008281,0.3814725047708373
1,140,0.5,0.1,0.4720091283110001,0.29548310845699555,0.3436905703164745,0.34468398665386896,0.4668473308458473
1,150,0.5,0.3,0.4683473127921438,0.510469290070732,0.283841592916436,0.24120569014619542,0.28340965048016514
1,160,0.5,0.6,0.47793940333157925,0.5863909480909679,0.2842567797608846,0.3371507511862116,0.25440250621519145
1,170,0.5,0.3,0.37034380327563776,0.3744358021040983,0.20980931729628413,0.1814722618909959,0.49762257861699427
1,180,0.5,0.4,0.40262192187740753,0.46865756146825727,0.34714736020784054,0.2627717965383745,0.379419518546928
1,190,0.5,0.4,0.3584975657029241,0.4572452289842272,0.3693090576081402,0.28889706608478527,0.5718619630190928
1,200,0.5,0.4,0.3718191623870311,0.5422675587897579,0.30864161413096125,0.20966084330872495,0.6395978886549754
1,210,0.5,0.5,0.5736790608924146,0.37475387232161556,0.2828300683370427,0.2604127896568617,0.46702568555232504
1,220,0.5,0.4,0.4356122645596291,0.6006782471899654,0.313028271542876,0.25358687274016434,0.42141932321331943
1,230,0.5,0.3,0.5613348240983485,0.555760111803926,0.30972921391222535,0.2522707337100639,0.4973178287119996
1,240,0.5,0.4,0.48337578319518626,0.3981932464154777,0.41712010153278706,0.2010372770528721,0.401615254151498
1,250,0.5,0.4,0.5490366908029622,0.5019538755402542,0.33609353917063745,0.24341455085376854,0.5439690894812383
1,260,0.5,0.2,0.4819834918286137,0.36665418829815843,0.5347966922475567,0.2722394334145094,0.36335166749502434
1,270,0.5,0.5,0.4290061407278971,0.5006902959177579,0.43766566645866484,0.25258167274023097,0.6495190354499084
